time_s,altitude_m,airspeed_ms,alpha_deg,pitch_deg,roll_deg,throttle,lift_N,drag_N,pos_x,pos_y,pos_z,q_bar_Pa
0.00,300.00,41.697,6.995,-6.992,0.005,0.6236,1877.66,323.06,0.0,0.4,300.0,1034.57
0.10,300.00,41.688,6.517,-6.458,0.053,0.7166,1751.55,289.62,0.0,4.6,300.0,1034.14
0.20,299.99,41.707,5.935,-5.722,0.321,0.7265,1602.37,252.84,0.0,8.8,300.0,1035.08
0.30,299.96,41.746,5.562,-5.106,0.803,0.7251,1509.66,231.53,0.0,12.9,300.0,1037.00
0.40,299.92,41.796,5.467,-4.722,1.383,0.7222,1488.96,226.76,0.0,17.1,299.9,1039.50
0.50,299.86,41.850,5.643,-4.613,1.980,0.7194,1538.02,237.31,0.0,21.3,299.9,1042.21
0.60,299.77,41.901,6.043,-4.777,2.553,0.7173,1645.39,261.85,0.0,25.5,299.8,1044.73
0.70,299.67,41.940,6.590,-5.171,3.079,0.7160,1792.15,298.12,0.0,29.7,299.7,1046.71
0.80,299.56,41.962,7.194,-5.727,3.550,0.7159,1954.67,341.96,0.0,33.9,299.6,1047.79
0.90,299.46,41.961,7.761,-6.354,3.965,0.7169,2107.54,386.83,0.1,38.1,299.5,1047.78
1.00,299.36,41.938,8.213,-6.961,4.329,0.7189,2228.23,424.94,0.1,42.2,299.4,1046.64
1.10,299.27,41.896,8.496,-7.468,4.644,0.7215,2301.13,449.44,0.1,46.4,299.3,1044.54
1.20,299.20,41.841,8.584,-7.815,4.916,0.7243,2319.28,456.36,0.2,50.6,299.2,1041.82
1.30,299.16,41.782,8.484,-7.972,5.150,0.7267,2285.40,445.92,0.2,54.8,299.2,1038.89
1.40,299.13,41.727,8.228,-7.938,5.351,0.7285,2210.04,422.01,0.3,59.0,299.1,1036.16
1.50,299.11,41.683,7.870,-7.743,5.522,0.7295,2108.89,390.67,0.3,63.1,299.1,1033.94
1.60,299.10,41.652,7.471,-7.432,5.667,0.7297,1999.29,358.05,0.4,67.3,299.1,1032.40
1.70,299.10,41.635,7.090,-7.065,5.790,0.7294,1896.97,328.97,0.5,71.5,299.1,1031.58
1.80,299.10,41.632,6.778,-6.700,5.892,0.7286,1814.96,306.65,0.6,75.6,299.1,1031.42
1.90,299.09,41.639,6.572,-6.390,5.977,0.7276,1762.03,292.69,0.7,79.8,299.1,1031.79
2.00,299.07,41.653,6.492,-6.176,6.046,0.7266,1742.43,287.53,0.8,84.0,299.1,1032.50
2.10,299.04,41.671,6.536,-6.080,6.101,0.7258,1755.35,290.71,1.0,88.1,299.0,1033.36
2.20,299.01,41.687,6.687,-6.106,6.144,0.7252,1796.00,301.16,1.1,92.3,299.0,1034.18
2.30,298.97,41.699,6.914,-6.242,6.176,0.7251,1856.67,317.28,1.3,96.5,299.0,1034.78
2.40,298.92,41.703,7.178,-6.459,6.200,0.7255,1926.76,336.65,1.4,100.6,298.9,1034.99
2.50,298.87,41.698,7.439,-6.722,6.216,0.7264,1995.32,356.37,1.6,104.8,298.9,1034.75
2.60,298.83,41.684,7.659,-6.991,6.227,0.7277,2052.65,373.52,1.8,109.0,298.8,1034.02
2.70,298.79,41.660,7.812,-7.229,6.232,0.7294,2091.04,385.45,2.0,113.1,298.8,1032.87
2.80,298.76,41.631,7.881,-7.407,6.234,0.7312,2106.63,390.61,2.2,117.3,298.8,1031.42
2.90,298.73,41.599,7.865,-7.508,6.233,0.7329,2099.16,388.70,2.4,121.4,298.7,1029.83
3.00,298.72,41.567,7.775,-7.527,6.229,0.7344,2071.95,380.74,2.6,125.6,298.7,1028.27
3.10,298.71,41.539,7.630,-7.470,6.224,0.7356,2030.56,368.57,2.8,129.7,298.7,1026.87
3.20,298.70,41.516,7.455,-7.356,6.218,0.7365,1982.20,354.51,3.1,133.9,298.7,1025.74
3.30,298.70,41.500,7.278,-7.209,6.211,0.7371,1934.20,340.80,3.3,138.0,298.7,1024.93
3.40,298.70,41.490,7.124,-7.052,6.205,0.7375,1892.79,329.19,3.6,142.2,298.7,1024.43
3.50,298.70,41.485,7.011,-6.913,6.199,0.7378,1863.04,320.97,3.9,146.3,298.7,1024.22
3.60,298.69,41.485,6.952,-6.810,6.193,0.7380,1847.61,316.74,4.2,150.4,298.7,1024.21
3.70,298.68,41.487,6.950,-6.757,6.188,0.7382,1847.14,316.59,4.5,154.6,298.7,1024.32
3.80,298.67,41.490,6.999,-6.757,6.183,0.7386,1860.19,320.14,4.8,158.7,298.7,1024.45
3.90,298.65,41.491,7.088,-6.809,6.178,0.7392,1883.71,326.64,5.1,162.9,298.7,1024.52
4.00,298.63,41.490,7.202,-6.902,6.172,0.7400,1913.38,334.98,5.5,167.0,298.6,1024.45
4.10,298.61,41.485,7.323,-7.022,6.167,0.7410,1944.46,343.90,5.8,171.1,298.6,1024.20
4.20,298.59,41.475,7.433,-7.150,6.161,0.7422,1972.47,352.11,6.1,175.3,298.6,1023.74
4.30,298.57,41.462,7.517,-7.270,6.155,0.7436,1993.53,358.43,6.5,179.4,298.6,1023.08
4.40,298.55,41.446,7.569,-7.367,6.149,0.7451,2005.59,362.18,6.9,183.5,298.6,1022.28
4.50,298.54,41.428,7.583,-7.432,6.142,0.7466,2007.41,362.93,7.3,187.6,298.5,1021.39
4.60,298.53,41.409,7.561,-7.458,6.134,0.7481,1999.86,360.89,7.7,191.8,298.5,1020.48
4.70,298.53,41.392,7.511,-7.449,6.126,0.7494,1984.97,356.68,8.1,195.9,298.5,1019.61
4.80,298.52,41.376,7.442,-7.408,6.117,0.7507,1965.38,351.11,8.5,200.0,298.5,1018.84
4.90,298.52,41.363,7.365,-7.345,6.107,0.7518,1944.23,345.10,8.9,204.1,298.5,1018.20
5.00,298.52,41.353,7.294,-7.272,6.096,0.7528,1924.65,339.57,9.3,208.2,298.5,1017.71
5.10,298.52,41.346,7.237,-7.200,6.085,0.7538,1909.05,335.19,9.8,212.3,298.5,1017.36
5.20,298.52,41.341,7.200,-7.139,6.072,0.7547,1899.06,332.41,10.2,216.5,298.5,1017.12
5.30,298.51,41.338,7.188,-7.097,6.058,0.7556,1895.56,331.45,10.7,220.6,298.5,1016.95
5.40,298.51,41.335,7.199,-7.078,6.044,0.7565,1898.36,332.27,11.2,224.7,298.5,1016.83
5.50,298.50,41.333,7.231,-7.083,6.028,0.7573,1906.37,334.56,11.6,228.8,298.5,1016.70
5.60,298.49,41.329,7.277,-7.109,6.012,0.7576,1918.04,337.92,12.1,232.9,298.5,1016.53
5.70,298.49,41.324,7.330,-7.151,5.994,0.7579,1931.33,341.78,12.6,237.0,298.5,1016.29
5.80,298.48,41.317,7.382,-7.203,5.977,0.7583,1944.16,345.56,13.2,241.1,298.5,1015.95
5.90,298.47,41.309,7.425,-7.256,5.959,0.7588,1954.79,348.74,13.7,245.2,298.5,1015.53
6.00,298.46,41.298,7.456,-7.303,5.941,0.7593,1961.82,350.90,14.2,249.3,298.5,1015.03
6.10,298.46,41.287,7.471,-7.340,5.923,0.7599,1964.58,351.83,14.8,253.4,298.5,1014.48
6.20,298.45,41.275,7.469,-7.361,5.905,0.7604,1962.94,351.48,15.3,257.5,298.5,1013.90
6.30,298.45,41.264,7.452,-7.368,5.887,0.7609,1957.57,350.03,15.9,261.5,298.4,1013.33
6.40,298.45,41.253,7.425,-7.360,5.870,0.7612,1949.40,347.76,16.5,265.6,298.4,1012.79
